1	Fn
4	A
5	B
6	C
7	D
8	E
9	F
10	G
11	H
12	I
13	J
14	K
15	L
16	M
17	N
18	O
19	P
20	Q
21	R
22	S
23	T
24	U
25	V
26	W
27	X
28	Y
29	Z
30	1
31	2
32	3
33	4
34	5
35	6
36	7
37	8
38	9
39	0
40	Enter
41	ESC
42	Bs
43	Tab
44	スペース
45	-/=
46	^/~
47	@/`
48	[/{
50	]/}
51	;/+
52	:/*
53	半角全角
54	</	
55	>/	
56	//?
57	Caps
58	F1
59	F2
60	F3
61	F4
62	F5
63	F6
64	F7
65	F8
66	F9
67	F10
68	F11
69	F12
70	PSc
71	ScrL
73	Ins
74	Home
75	PgUp
77	End
78	PgDn
79	→
80	←
81	↓
82	↑
135	\/_
136	かな
137	\/|
138	変換
139	無変換
145	英数
213	◇[右]
224	Ctrl[左]
225	Shift[左]
226	Opt/Alt[左]
227	左◇
229	Shift[右]
230	Opt/Alt[右]
